Time,ChannelA,ChannelB,ChannelD
(s),(V),(mV),(V)
,,,
0,1.614173,86.61417,3.385827
0.000006,1.614173,86.61417,3.385827
0.00001201,1.574803,90.55118,3.425197
0.00001801,1.535433,90.55118,3.425197
0.00002401,1.614173,90.55118,3.385827
0.00003002,1.614173,94.48818,3.425197
0.00003602,1.574803,90.55118,3.425197
0.00004202,1.614173,90.55118,3.346457
0.00004803,1.614173,90.55118,3.346457
0.00005403,1.574803,90.55118,3.385827
0.00006003,1.614173,90.55118,3.385827
0.00006604,1.614173,90.55118,3.385827
0.00007204,1.614173,90.55118,3.385827
0.00007804,1.653543,90.55118,3.385827
0.00008404,1.653543,90.55118,3.385827
0.00009005,1.614173,94.48818,3.385827
0.00009605,1.653543,94.48818,3.425197
0.00010205,1.653543,90.55118,3.385827
0.00010806,1.653543,86.61417,3.346457
0.00011406,1.574803,86.61417,3.425197
0.00012006,1.614173,90.55118,3.385827
0.00012607,1.692913,90.55118,3.385827
0.00013207,1.614173,94.48818,3.385827
0.00013807,1.535433,86.61417,3.346457
0.00014408,1.614173,86.61417,3.464567
0.00015008,1.614173,90.55118,3.346457
0.00015608,1.653543,86.61417,3.385827
0.00016209,1.574803,86.61417,3.346457
0.00016809,1.535433,90.55118,3.425197
0.00017409,1.574803,90.55118,3.385827
0.0001801,1.614173,94.48818,3.307086
0.0001861,1.614173,90.55118,3.385827
0.0001921,1.574803,90.55118,3.385827
0.00019811,1.535433,90.55118,3.385827
0.00020411,1.614173,94.48818,3.385827
0.00021011,1.692913,90.55118,3.385827
0.00021612,1.614173,90.55118,3.385827
0.00022212,1.535433,90.55118,3.425197
0.00022812,1.574803,90.55118,3.425197
0.00023412,1.614173,90.55118,3.385827
0.00024013,1.614173,86.61417,3.346457
0.00024613,1.614173,90.55118,3.425197
0.00025213,1.574803,86.61417,3.385827
0.00025814,1.574803,90.55118,3.425197
0.00026414,1.614173,94.48818,3.385827
0.00027014,1.614173,94.48818,3.385827
0.00027615,1.614173,90.55118,3.385827
0.00028215,1.614173,86.61417,3.385827
0.00028815,1.653543,90.55118,3.385827
0.00029416,1.614173,86.61417,3.385827
0.00030016,1.614173,90.55118,3.385827
0.00030616,1.614173,90.55118,3.385827
0.00031217,1.574803,90.55118,3.425197
0.00031817,1.614173,82.67715,3.385827
0.00032417,1.574803,90.55118,3.385827
0.00033018,1.614173,90.55118,3.385827
0.00033618,1.614173,86.61417,3.425197
0.00034218,1.574803,86.61417,3.385827
0.00034819,1.614173,90.55118,3.385827
0.00035419,1.614173,90.55118,3.385827
0.00036019,1.614173,82.67715,3.346457
0.0003662,1.614173,94.48818,3.346457
0.0003722,1.574803,94.48818,3.385827
0.0003782,1.614173,86.61417,3.346457
0.0003842,1.653543,94.48818,3.346457
0.00039021,1.614173,90.55118,3.425197
0.00039621,1.574803,90.55118,3.385827
0.00040221,1.653543,94.48818,3.385827
0.00040822,1.614173,94.48818,3.425197
0.00041422,1.614173,90.55118,3.346457
0.00042022,1.614173,90.55118,3.385827
0.00042623,1.614173,90.55118,3.385827
0.00043223,1.614173,90.55118,3.385827
0.00043823,1.653543,98.42519,3.385827
0.00044424,1.574803,94.48818,3.385827
0.00045024,1.574803,90.55118,3.346457
0.00045624,1.614173,94.48818,3.385827
0.00046225,1.574803,90.55118,3.385827
0.00046825,1.614173,86.61417,3.385827
0.00047425,1.574803,90.55118,3.346457
0.00048026,1.653543,86.61417,3.385827
0.00048626,1.692913,90.55118,3.385827
0.00049226,1.614173,90.55118,3.385827
0.00049827,1.574803,90.55118,3.346457
0.00050427,1.574803,86.61417,3.425197
0.00051027,1.692913,90.55118,3.385827
0.00051628,1.653543,94.48818,3.346457
0.00052228,1.614173,90.55118,3.385827
0.00052828,1.496063,90.55118,3.385827
0.00053428,1.653543,94.48818,3.385827
0.00054029,1.653543,90.55118,3.385827
0.00054629,1.614173,86.61417,3.385827
0.00055229,1.535433,94.48818,3.425197
0.0005583,1.535433,82.67715,3.346457
0.0005643,1.614173,98.42519,3.385827
0.0005703,1.653543,90.55118,3.385827
0.00057631,1.614173,94.48818,3.425197
0.00058231,1.574803,90.55118,3.385827
0.00058831,1.614173,86.61417,3.385827
0.00059432,1.653543,86.61417,3.385827
0.00060032,1.614173,86.61417,3.385827
0.00060632,1.614173,90.55118,3.385827
0.00061233,1.574803,90.55118,3.425197
0.00061833,1.614173,90.55118,3.385827
0.00062433,1.614173,90.55118,3.425197
0.00063034,1.614173,94.48818,3.385827
0.00063634,1.614173,86.61417,3.385827
0.00064234,1.614173,94.48818,3.385827
0.00064835,1.574803,86.61417,3.385827
0.00065435,1.614173,90.55118,3.385827
0.00066035,1.653543,90.55118,3.385827
0.00066636,1.614173,94.48818,3.385827
0.00067236,1.614173,90.55118,3.385827
0.00067836,1.614173,82.67715,3.385827
0.00068436,1.614173,90.55118,3.425197
0.00069037,1.614173,94.48818,3.346457
0.00069637,1.614173,86.61417,3.385827
0.00070237,1.614173,82.67715,3.385827
0.00070838,1.574803,94.48818,3.307086
0.00071438,1.614173,90.55118,3.385827
0.00072038,1.574803,94.48818,3.385827
0.00072639,1.614173,90.55118,3.385827
0.00073239,1.614173,94.48818,3.385827
0.00073839,1.614173,86.61417,3.385827
0.0007444,1.574803,86.61417,3.425197
0.0007504,1.574803,90.55118,3.385827
0.0007564,1.614173,90.55118,3.385827
0.00076241,1.653543,94.48818,3.425197
0.00076841,1.614173,86.61417,3.385827
0.00077441,1.614173,86.61417,3.385827
0.00078042,1.614173,82.67715,3.385827
0.00078642,1.614173,90.55118,3.425197
0.00079242,1.614173,90.55118,3.385827
0.00079843,1.614173,90.55118,3.425197
0.00080443,1.574803,94.48818,3.385827
0.00081043,1.614173,86.61417,3.346457
0.00081644,1.653543,82.67715,3.425197
0.00082244,1.614173,78.74015,3.385827
0.00082844,1.574803,86.61417,3.385827
0.00083444,1.574803,94.48818,3.385827
0.00084045,1.574803,90.55118,3.385827
0.00084645,1.653543,94.48818,3.385827
0.00085245,1.653543,90.55118,3.385827
0.00085846,1.574803,86.61417,3.346457
0.00086446,1.574803,98.42519,3.425197
0.00087046,1.653543,86.61417,3.385827
0.00087647,1.692913,90.55118,3.385827
0.00088247,1.614173,94.48818,3.346457
0.00088847,1.574803,90.55118,3.385827
0.00089448,1.574803,90.55118,3.385827
0.00090048,1.653543,90.55118,3.346457
0.00090648,1.614173,86.61417,3.385827
0.00091249,1.653543,90.55118,3.385827
0.00091849,1.614173,94.48818,3.425197
0.00092449,1.614173,86.61417,3.385827
0.0009305,1.653543,90.55118,3.307086
0.0009365,1.574803,90.55118,3.425197
0.0009425,1.535433,90.55118,3.385827
0.00094851,1.574803,94.48818,3.425197
0.00095451,1.692913,90.55118,3.385827
0.00096051,1.653543,86.61417,3.385827
